Window Start,Window End,Calibrated Mu,TIC,,
0,10,4.290307579,0.042697269,,
10,20,4.107813531,0.039399609,,
20,30,4.283661814,0.034958075,,5.186046632
30,40,4.564370527,0.044022393,,3.237585168
40,50,3.977895412,0.051515194,,0.487115366
50,60,3.54177062,0.088989992,,48.71153658
60,70,4.040848335,0.05281485,,
70,80,3.954173264,0.039052415,,
80,90,3.925692883,0.027114593,,
90,100,4.907676994,0.070661952,,
100,110,4.468536583,0.032905663,,
110,120,3.440950147,0.058427439,,
120,130,4.463405923,0.061103235,,
130,140,3.279962896,0.068834344,,
140,150,4.04682922,0.03385216,,
150,160,3.28600537,0.080676513,,
160,170,5.177550041,0.070535745,,
170,180,3.534435488,0.03238426,,
180,190,4.071899346,0.019128282,,
190,200,3.614047321,0.040394979,,
200,210,3.700151017,0.065132599,,
210,220,3.798699241,0.044737446,,
220,230,3.323999788,0.06622988,,
230,240,4.108987907,0.065683964,,
240,250,3.318448177,0.051999793,,
250,260,4.322760451,0.049664589,,
260,270,4.557984888,0.066753471,,
270,280,4.330069096,0.046045181,,
280,290,4.504328226,0.028533329,,
290,300,3.69617678,0.055516317,,
300,310,4.31469845,0.044230179,,
310,320,3.379465651,0.051924507,,
320,330,3.499541126,0.076780659,,
330,340,4.204674927,0.044347542,,
340,350,3.508295653,0.074842294,,
350,360,4.238705634,0.060949538,,
360,370,3.937910547,0.042996284,,
370,380,3.714857156,0.082870073,,
380,390,4.387239751,0.06696722,,
390,400,4.393022675,0.036316359,,
400,410,4.158891356,0.06485588,,
410,420,3.569948954,0.035423318,,
420,430,3.615007918,0.070611253,,
430,440,4.171505082,0.036873361,,
440,450,3.237585168,0.03316755,,
450,460,4.198189543,0.049704094,,
460,470,4.449533734,0.02938053,,
470,480,3.948238207,0.030401979,,
480,490,3.990074291,0.0702359,,
490,500,4.343669678,0.094692085,,
500,510,4.510717234,0.079621841,,
510,520,4.9992916,0.113234637,,
520,530,3.597712245,0.062843312,,
530,540,3.611759063,0.067314276,,
540,550,4.394521227,0.074083701,,
550,560,3.698981832,0.036568707,,
560,570,4.163815979,0.070575325,,
570,580,3.646914143,0.057579782,,
580,590,4.138589215,0.034301835,,
590,600,4.050704569,0.044322833,,
600,610,3.675916143,0.046319447,,
610,620,3.766276154,0.03028656,,
620,630,3.360815313,0.07884656,,
630,640,3.824102117,0.055856662,,
640,650,4.080443967,0.040071012,,
650,660,4.636252092,0.066222506,,
660,670,4.26283454,0.034169999,,
670,680,4.261049395,0.034755896,,
680,690,4.133281614,0.034694022,,
690,700,3.955462015,0.029410883,,
700,710,3.884160246,0.058680898,,
710,720,4.119277462,0.047749405,,
720,730,4.147377793,0.044137353,,
730,740,3.290666702,0.103465557,,
740,750,4.353920452,0.03438166,,
750,760,3.728906936,0.0669787,,
760,770,4.319447617,0.053345357,,
770,780,3.865980753,0.067382896,,
780,790,4.871407435,0.087720408,,
790,800,4.545930712,0.048853163,,
800,810,4.686970065,0.031702572,,
810,820,4.215083703,0.029252711,,
820,830,3.592092043,0.021150813,,
830,840,4.246152717,0.03273484,,
840,850,4.513061177,0.056205211,,
850,860,4.182414971,0.059668951,,
860,870,5.186046632,0.153686913,,
870,880,4.420023615,0.075962854,,
880,890,4.049470023,0.036228101,,
890,900,4.342183596,0.035380263,,
900,910,4.110002572,0.040828551,,
910,920,3.643722852,0.082879288,,
920,930,3.880613918,0.052624824,,
930,940,3.800384557,0.054414284,,
940,950,3.897153061,0.023419282,,
950,960,3.527155694,0.070864382,,
960,970,4.320495302,0.060525976,,
970,980,3.978644818,0.065171472,,
980,990,4.395017217,0.037216619,,
990,1000,4.460468376,0.06690168,,
