Window Start,Window End,Calibrated Mu,TIC
0,50,4.037109499,0.03083339
50,100,4.123306292,0.023727801
100,150,4.136547545,0.026679284
150,200,3.931600676,0.014340213
200,250,3.871524692,0.033213764
250,300,4.235149282,0.028172315
300,350,4.223124808,0.03470251
350,400,4.404056495,0.025428542
400,450,4.066592415,0.040275315
450,500,4.183707143,0.04003746
500,550,3.540573626,0.056536557
550,600,3.806007854,0.029295213
600,650,3.778288685,0.030591391
650,700,4.215024109,0.018160759
700,750,4.079650227,0.024570517
750,800,3.932516087,0.020697253
800,850,4.154881421,0.019055438
850,900,3.917074561,0.018956907
900,950,4.001364341,0.021351762
950,1000,3.540908531,0.036637842
