Window Start,Window End,Calibrated Mu,TIC
0,100,4.052806544965749,0.019149852314991087
100,200,3.9167685612639875,0.016342876675869585
200,300,3.890573564539993,0.012901756389375341
300,400,4.138705052494274,0.014782495432665212
400,500,3.795329280316869,0.019867918923149822
500,600,3.909362259640458,0.01799185028641554
600,700,3.833769062944488,0.011088408863581629
700,800,3.920387335535849,0.01466619665384583
800,900,4.143799366155479,0.01593876210308626
900,1000,3.9635929211051337,0.011061795501779834
