Window Start,Window End,Calibrated Mu,TIC
0,50,4.253755297,0.019109256
50,100,3.95164811,0.025648109
100,150,4.01321936,0.023498845
150,200,3.948378005,0.014799624
200,250,3.748878577,0.026187095
250,300,4.064635383,0.018235662
300,350,4.028123237,0.020695278
350,400,4.286307124,0.019688045
400,450,3.660812227,0.02390228
450,500,3.952055201,0.026107868
500,550,3.975777979,0.015261571
550,600,3.901274951,0.022596617
600,650,3.594100009,0.016797607
650,700,4.123641236,0.012269075
700,750,3.940381885,0.018846202
750,800,3.966322151,0.019793117
800,850,4.085441679,0.021093219
850,900,3.923736185,0.018590869
900,950,4.18939213,0.01670627
950,1000,3.779753321,0.018013564
