time,station,part,activity
2025-07-01T17:53:42.512727,S3,P12,LOAD
2025-07-01T17:53:42.646622,S5,P1,LOAD
2025-07-01T17:53:45.787157,S5,P1,PROCESS
2025-07-01T17:53:46.222093,S1,P4,LOAD
2025-07-01T17:53:46.443822,S3,P12,PROCESS
2025-07-01T17:53:50.264660,S1,P4,PROCESS
2025-07-01T17:53:54.752193,S3,P12,UNLOAD
2025-07-01T17:53:55.474560,S4,P5,LOAD
2025-07-01T17:53:57.494280,S3,P12,TRANSFER
2025-07-01T17:53:57.890164,S3,P6,LOAD
2025-07-01T17:53:58.102614,S5,P1,UNLOAD
2025-07-01T17:53:58.681158,S4,P5,PROCESS
2025-07-01T17:53:59.954921,S5,P1,TRANSFER
2025-07-01T17:54:00.343427,S5,P7,LOAD
2025-07-01T17:54:01.978304,S3,P6,PROCESS
2025-07-01T17:54:01.990580,S1,P4,UNLOAD
2025-07-01T17:54:03.539951,S5,P7,PROCESS
2025-07-01T17:54:04.573376,S1,P4,TRANSFER
2025-07-01T17:54:05.328085,S1,P1,LOAD
2025-07-01T17:54:08.667195,S3,P6,UNLOAD
2025-07-01T17:54:09.363438,S1,P1,PROCESS
2025-07-01T17:54:09.416348,S2,P4,LOAD
2025-07-01T17:54:10.202203,S4,P5,UNLOAD
2025-07-01T17:54:11.374559,S3,P6,TRANSFER
2025-07-01T17:54:11.816124,S3,P10,LOAD
2025-07-01T17:54:12.071402,S4,P5,TRANSFER
2025-07-01T17:54:12.729384,S2,P4,PROCESS
2025-07-01T17:54:15.063810,S5,P7,UNLOAD
2025-07-01T17:54:15.820523,S3,P10,PROCESS
2025-07-01T17:54:16.854983,S5,P7,TRANSFER
2025-07-01T17:54:17.295040,S5,P8,LOAD
2025-07-01T17:54:19.266072,S2,P4,UNLOAD
2025-07-01T17:54:20.471615,S5,P8,PROCESS
2025-07-01T17:54:21.026404,S2,P4,TRANSFER
2025-07-01T17:54:21.251147,S1,P1,UNLOAD
2025-07-01T17:54:23.232323,S3,P10,UNLOAD
2025-07-01T17:54:23.940226,S1,P1,TRANSFER
2025-07-01T17:54:24.375851,S1,P7,LOAD
2025-07-01T17:54:25.980451,S3,P10,TRANSFER
2025-07-01T17:54:26.379707,S3,P2,LOAD
2025-07-01T17:54:28.530749,S1,P7,PROCESS
2025-07-01T17:54:28.724804,S2,P1,LOAD
2025-07-01T17:54:30.443197,S3,P2,PROCESS
2025-07-01T17:54:31.963218,S2,P1,PROCESS
2025-07-01T17:54:33.544506,S5,P8,UNLOAD
2025-07-01T17:54:35.333332,S5,P8,TRANSFER
2025-07-01T17:54:35.804180,S5,P9,LOAD
2025-07-01T17:54:37.378594,S2,P1,UNLOAD
2025-07-01T17:54:38.493764,S3,P2,UNLOAD
2025-07-01T17:54:38.959806,S5,P9,PROCESS
2025-07-01T17:54:39.419229,S2,P1,TRANSFER
2025-07-01T17:54:39.810508,S1,P7,UNLOAD
2025-07-01T17:54:41.285947,S3,P2,TRANSFER
2025-07-01T17:54:41.715731,S3,P3,LOAD
2025-07-01T17:54:42.414530,S1,P7,TRANSFER
2025-07-01T17:54:42.801219,S1,P8,LOAD
2025-07-01T17:54:45.709481,S3,P3,PROCESS
2025-07-01T17:54:46.954079,S1,P8,PROCESS
2025-07-01T17:54:47.139160,S2,P7,LOAD
2025-07-01T17:54:50.318649,S2,P7,PROCESS
2025-07-01T17:54:50.924864,S5,P9,UNLOAD
2025-07-01T17:54:51.939745,S3,P3,UNLOAD
2025-07-01T17:54:52.727521,S5,P9,TRANSFER
2025-07-01T17:54:53.143837,S5,P11,LOAD
2025-07-01T17:54:54.618734,S2,P7,UNLOAD
2025-07-01T17:54:54.680532,S3,P3,TRANSFER
2025-07-01T17:54:55.078237,S3,P4,LOAD
2025-07-01T17:54:56.391884,S5,P11,PROCESS
2025-07-01T17:54:56.445258,S2,P7,TRANSFER
2025-07-01T17:54:59.113701,S3,P4,PROCESS
2025-07-01T17:54:59.593017,S1,P8,UNLOAD
2025-07-01T17:55:02.212108,S1,P8,TRANSFER
2025-07-01T17:55:02.683935,S1,P9,LOAD
2025-07-01T17:55:05.908063,S3,P4,UNLOAD
2025-07-01T17:55:06.811167,S1,P9,PROCESS
2025-07-01T17:55:06.932026,S2,P8,LOAD
2025-07-01T17:55:08.623840,S5,P11,UNLOAD
2025-07-01T17:55:08.645416,S3,P4,TRANSFER
2025-07-01T17:55:09.050643,S3,P1,LOAD
2025-07-01T17:55:10.179203,S2,P8,PROCESS
2025-07-01T17:55:10.382508,S5,P11,TRANSFER
2025-07-01T17:55:10.794243,S5,P12,LOAD
2025-07-01T17:55:13.112611,S3,P1,PROCESS
2025-07-01T17:55:13.985726,S2,P8,UNLOAD
