time,station,part_id,activity
2025-07-25T10:39:57.694346,S1,P1,LOAD
2025-07-25T10:40:01.758368,S1,P1,PROCESS
2025-07-25T10:40:13.117074,S1,P1,UNLOAD
2025-07-25T10:40:15.779089,S1,P1,TRANSFER
2025-07-25T10:40:16.196501,S1,P2,LOAD
2025-07-25T10:40:20.366100,S1,P2,PROCESS
2025-07-25T10:40:20.599588,S2,P1,LOAD
2025-07-25T10:40:24.017883,S2,P1,PROCESS
2025-07-25T10:40:30.101058,S2,P1,UNLOAD
2025-07-25T10:40:31.888387,S1,P2,UNLOAD
2025-07-25T10:40:31.999627,S2,P1,TRANSFER
2025-07-25T10:40:34.488787,S1,P2,TRANSFER
2025-07-25T10:40:34.928229,S1,P3,LOAD
2025-07-25T10:40:39.131583,S1,P3,PROCESS
2025-07-25T10:40:39.238788,S2,P2,LOAD
2025-07-25T10:40:42.633004,S2,P2,PROCESS
2025-07-25T10:40:45.934995,S3,P1,LOAD
2025-07-25T10:40:47.754240,S2,P2,UNLOAD
2025-07-25T10:40:49.524010,S2,P2,TRANSFER
2025-07-25T10:40:49.914750,S3,P1,PROCESS
2025-07-25T10:40:50.036580,S1,P3,UNLOAD
2025-07-25T10:40:52.670337,S1,P3,TRANSFER
2025-07-25T10:40:53.070772,S1,P4,LOAD
2025-07-25T10:40:57.011334,S3,P1,UNLOAD
2025-07-25T10:40:57.263520,S1,P4,PROCESS
2025-07-25T10:40:57.412854,S2,P3,LOAD
2025-07-25T10:40:59.746991,S3,P1,TRANSFER
2025-07-25T10:41:00.750806,S2,P3,PROCESS
2025-07-25T10:41:02.773530,S5,P1,LOAD
2025-07-25T10:41:04.084162,S3,P2,LOAD
2025-07-25T10:41:05.002887,S2,P3,UNLOAD
2025-07-25T10:41:06.074003,S5,P1,PROCESS
2025-07-25T10:41:06.909931,S2,P3,TRANSFER
2025-07-25T10:41:08.072611,S3,P2,PROCESS
2025-07-25T10:41:08.364802,S1,P4,UNLOAD
2025-07-25T10:41:10.960318,S1,P4,TRANSFER
2025-07-25T10:41:11.368425,S1,P5,LOAD
2025-07-25T10:41:14.914673,S3,P2,UNLOAD
2025-07-25T10:41:15.577160,S1,P5,PROCESS
2025-07-25T10:41:16.055880,S2,P4,LOAD
2025-07-25T10:41:17.578398,S5,P1,UNLOAD
2025-07-25T10:41:17.704648,S3,P2,TRANSFER
2025-07-25T10:41:19.284681,S5,P1,BLOCK
2025-07-25T10:41:19.393654,S2,P4,PROCESS
2025-07-25T10:41:21.649139,S3,P3,LOAD
2025-07-25T10:41:23.752485,S2,P4,UNLOAD
2025-07-25T10:41:25.624102,S3,P3,PROCESS
2025-07-25T10:41:25.627092,S2,P4,TRANSFER
2025-07-25T10:41:27.791571,S1,P5,UNLOAD
2025-07-25T10:41:30.401107,S1,P5,TRANSFER
2025-07-25T10:41:30.828179,S1,P9,LOAD
2025-07-25T10:41:31.704982,S3,P3,UNLOAD
2025-07-25T10:41:34.412419,S3,P3,TRANSFER
2025-07-25T10:41:34.959445,S1,P9,PROCESS
2025-07-25T10:41:35.164098,S2,P5,LOAD
2025-07-25T10:41:38.561228,S2,P5,PROCESS
2025-07-25T10:41:40.268621,S4,P4,LOAD
2025-07-25T10:41:43.070489,S2,P5,UNLOAD
2025-07-25T10:41:43.528195,S4,P4,PROCESS
2025-07-25T10:41:44.909151,S2,P5,TRANSFER
2025-07-25T10:41:47.389975,S1,P9,UNLOAD
2025-07-25T10:41:50.070915,S1,P9,TRANSFER
2025-07-25T10:41:50.489370,S1,P7,LOAD
2025-07-25T10:41:54.686707,S1,P7,PROCESS
2025-07-25T10:41:54.917257,S2,P9,LOAD
2025-07-25T10:41:55.444357,S4,P4,UNLOAD
2025-07-25T10:41:57.301584,S4,P4,TRANSFER
2025-07-25T10:41:58.259201,S2,P9,PROCESS
2025-07-25T10:41:59.241304,S3,P5,LOAD
2025-07-25T10:42:03.211219,S3,P5,PROCESS
2025-07-25T10:42:03.223994,S2,P9,UNLOAD
2025-07-25T10:42:05.089849,S2,P9,TRANSFER
2025-07-25T10:42:08.086371,S1,P7,UNLOAD
2025-07-25T10:42:09.952939,S3,P5,UNLOAD
2025-07-25T10:42:10.710002,S1,P7,TRANSFER
2025-07-25T10:42:11.124806,S1,P8,LOAD
2025-07-25T10:42:12.682961,S3,P5,TRANSFER
2025-07-25T10:42:15.269796,S1,P8,PROCESS
2025-07-25T10:42:15.427063,S2,P7,LOAD
2025-07-25T10:42:18.780343,S2,P7,PROCESS
2025-07-25T10:42:19.849485,S4,P9,LOAD
2025-07-25T10:42:23.126901,S4,P9,PROCESS
2025-07-25T10:42:23.746584,S2,P7,UNLOAD
2025-07-25T10:42:25.669626,S2,P7,TRANSFER
2025-07-25T10:42:28.299437,S1,P8,UNLOAD
2025-07-25T10:42:30.948469,S1,P8,TRANSFER
2025-07-25T10:42:31.350712,S1,P6,LOAD
2025-07-25T10:42:31.743884,S5,P1,TRANSFER
2025-07-25T10:42:31.928506,S5,P2,LOAD
2025-07-25T10:42:35.232916,S5,P2,PROCESS
2025-07-25T10:42:35.504514,S1,P6,PROCESS
2025-07-25T10:42:35.565241,S4,P9,UNLOAD
2025-07-25T10:42:36.029792,S2,P8,LOAD
2025-07-25T10:42:37.388825,S4,P9,TRANSFER
2025-07-25T10:42:39.432041,S2,P8,PROCESS
2025-07-25T10:42:40.724975,S4,P7,LOAD
2025-07-25T10:42:44.019174,S4,P7,PROCESS
2025-07-25T10:42:44.905564,S2,P8,UNLOAD
2025-07-25T10:42:46.731477,S2,P8,TRANSFER
2025-07-25T10:42:47.093559,S5,P2,UNLOAD
2025-07-25T10:42:48.021143,S1,P6,UNLOAD
2025-07-25T10:42:48.765880,S5,P2,BLOCK
2025-07-25T10:42:50.735525,S1,P6,TRANSFER
2025-07-25T10:42:51.046726,S1,P10,LOAD
2025-07-25T10:42:51.386858,S5,P2,TRANSFER
2025-07-25T10:42:51.562301,S5,P3,LOAD
2025-07-25T10:42:54.837772,S5,P3,PROCESS
2025-07-25T10:42:55.146788,S1,P10,PROCESS
2025-07-25T10:42:55.427608,S4,P7,UNLOAD
2025-07-25T10:42:55.567895,S2,P6,LOAD
2025-07-25T10:42:57.168443,S4,P7,TRANSFER
2025-07-25T10:42:58.909160,S2,P6,PROCESS
2025-07-25T10:43:01.234172,S3,P8,LOAD
2025-07-25T10:43:05.220051,S3,P8,PROCESS
2025-07-25T10:43:06.109127,S2,P6,UNLOAD
2025-07-25T10:43:06.970473,S5,P3,UNLOAD
2025-07-25T10:43:07.665664,S1,P10,UNLOAD
2025-07-25T10:43:07.957493,S2,P6,TRANSFER
2025-07-25T10:43:08.637690,S5,P3,BLOCK
2025-07-25T10:43:10.280062,S1,P10,TRANSFER
2025-07-25T10:43:10.698470,S1,P11,LOAD
2025-07-25T10:43:11.077588,S5,P3,TRANSFER
2025-07-25T10:43:11.245455,S5,P4,LOAD
2025-07-25T10:43:12.941855,S3,P8,UNLOAD
2025-07-25T10:43:14.533423,S5,P4,PROCESS
2025-07-25T10:43:14.882983,S1,P11,PROCESS
2025-07-25T10:43:15.106903,S2,P10,LOAD
